
三星 samsung


天语 Ktouch


海信 hisense


联想 lenovo


欧比 obi


爱派尔 ipair


努比亚 nubia


优米 youmi


朵唯 dowe


黑米 heymi


锤子 hammer


酷比魔方 koobee


美图 meitu


尼比鲁 nibilu


一加 oneplus


优购 yougo


诺基亚 nokia


糖葫芦 candy


中国移动 ccmc


语信 yuxin


基伍 kiwu


青橙 greeno


华硕 asus


夏新 panosonic


维图 weitu


艾优尼 aiyouni


摩托罗拉 moto


乡米 xiangmi


米奇 micky


大可乐 bigcola


沃普丰 wpf


神舟 hasse


摩乐 mole


飞秒 fs


米歌 mige


富可视 fks


德赛 desci


梦米 mengmi


乐视 lshi


小杨树 smallt

纽曼 newman


邦华 banghua


E派 epai


易派 epai

普耐尔 pner

欧新 ouxin

西米 ximi

海尔 haier

波导 bodao


糯米 nuomi


唯米 weimi


酷珀 kupo


谷歌 google


昂达 ada

华为 huawei

魅族 meizu

酷派 coolpad


聆韵 lingyun

小米 xiaomi

中兴 zte

金立 gionee

索尼 sony
